nycha_idx,hpd_inx,nycha_address,hpd_address,score,used_fallback
1164,1933,220 THROOP AVENUE BROOKLYN 11206,220 THROOP AVENUE BROOKLYN 11206,100.0,False
1165,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
1166,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
1167,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1168,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1170,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1171,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
1197,0,2370 1 AVENUE MANHATTAN 10035,2370 1 AVENUE MANHATTAN 10035,100.0,False
1204,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
1205,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
1206,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
1207,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
1208,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
1209,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
1210,1933,220 THROOP AVENUE BROOKLYN 11206,220 THROOP AVENUE BROOKLYN 11206,100.0,False
1214,661,451 COLUMBIA STREET BROOKLYN 11231,451 COLUMBIA STREET BROOKLYN 11231,100.0,False
1215,661,451 COLUMBIA STREET BROOKLYN 11231,451 COLUMBIA STREET BROOKLYN 11231,100.0,False
1220,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1221,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1222,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1229,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1248,61,1715 BRUCKNER BOULEVARD BRONX 10472,1715 BRUCKNER BOULEVARD BRONX 10472,100.0,False
1249,157,414 SUTTER AVENUE BROOKLYN 11212,414 SUTTER AVENUE BROOKLYN 11212,100.0,False
1250,157,414 SUTTER AVENUE BROOKLYN 11212,414 SUTTER AVENUE BROOKLYN 11212,100.0,False
1251,157,414 SUTTER AVENUE BROOKLYN 11212,414 SUTTER AVENUE BROOKLYN 11212,100.0,False
1257,157,414 SUTTER AVENUE BROOKLYN 11212,414 SUTTER AVENUE BROOKLYN 11212,100.0,False
1276,0,10602 GLENWOOD ROAD BROOKLYN 11236,10602 GLENWOOD ROAD BROOKLYN 11236,100.0,False
1278,1,2703 WEST 33 STREET BROOKLYN 11224,2703 WEST 33 STREET BROOKLYN 11224,100.0,False
1295,1248,395 LIVONIA AVENUE BROOKLYN 11212,395 LIVONIA AVENUE BROOKLYN 11212,100.0,False
1307,1,2703 WEST 33 STREET BROOKLYN 11224,2703 WEST 33 STREET BROOKLYN 11224,100.0,False
1309,636,90 AVENUE D MANHATTAN 10009,90 AVENUE D MANHATTAN 10009,100.0,False
1313,1038,219 EAST 97 STREET MANHATTAN 10029,219 EAST 97 STREET MANHATTAN 10029,100.0,False
1321,1038,219 EAST 97 STREET MANHATTAN 10029,219 EAST 97 STREET MANHATTAN 10029,100.0,False
1323,117,1248 WESTCHESTER AVENUE BRONX 10459,1248 WESTCHESTER AVENUE BRONX 10459,100.0,False
1324,72,116-30 GUY R BREWER BOULEVARD QUEENS 11434,116-30 GUY R BREWER BOULEVARD QUEENS 11434,100.0,False
1325,72,116-30 GUY R BREWER BOULEVARD QUEENS 11434,116-30 GUY R BREWER BOULEVARD QUEENS 11434,100.0,False
1326,72,116-30 GUY R BREWER BOULEVARD QUEENS 11434,116-30 GUY R BREWER BOULEVARD QUEENS 11434,100.0,False
1333,1038,219 EAST 97 STREET MANHATTAN 10029,219 EAST 97 STREET MANHATTAN 10029,100.0,False
1338,0,5975 SHORE PARKWAY BROOKLYN 11236,5975 SHORE PARKWAY BROOKLYN 11236,100.0,False
1339,0,5975 SHORE PARKWAY BROOKLYN 11236,5975 SHORE PARKWAY BROOKLYN 11236,100.0,False
1340,0,5975 SHORE PARKWAY BROOKLYN 11236,5975 SHORE PARKWAY BROOKLYN 11236,100.0,False
1345,61,1715 BRUCKNER BOULEVARD BRONX 10472,1715 BRUCKNER BOULEVARD BRONX 10472,100.0,False
1346,61,1715 BRUCKNER BOULEVARD BRONX 10472,1715 BRUCKNER BOULEVARD BRONX 10472,100.0,False
1347,61,1715 BRUCKNER BOULEVARD BRONX 10472,1715 BRUCKNER BOULEVARD BRONX 10472,100.0,False
1348,61,1715 BRUCKNER BOULEVARD BRONX 10472,1715 BRUCKNER BOULEVARD BRONX 10472,100.0,False
1353,72,116-30 GUY R BREWER BOULEVARD QUEENS 11434,116-30 GUY R BREWER BOULEVARD QUEENS 11434,100.0,False
1354,833,2201 SURF AVENUE BROOKLYN 11224,2201 SURF AVENUE BROOKLYN 11224,100.0,False
1355,157,414 SUTTER AVENUE BROOKLYN 11212,414 SUTTER AVENUE BROOKLYN 11212,100.0,False
1357,218,920 EAST 6 STREET MANHATTAN 10009,920 EAST 6 STREET MANHATTAN 10009,100.0,False
1358,1038,219 EAST 97 STREET MANHATTAN 10029,219 EAST 97 STREET MANHATTAN 10029,100.0,False
1370,61,1715 BRUCKNER BOULEVARD BRONX 10472,1715 BRUCKNER BOULEVARD BRONX 10472,100.0,False
1371,157,414 SUTTER AVENUE BROOKLYN 11212,414 SUTTER AVENUE BROOKLYN 11212,100.0,False
1372,927,1100 TELLER AVENUE BRONX 10456,1100 TELLER AVENUE BRONX 10456,100.0,False
1373,927,1100 TELLER AVENUE BRONX 10456,1100 TELLER AVENUE BRONX 10456,100.0,False
1374,927,1100 TELLER AVENUE BRONX 10456,1100 TELLER AVENUE BRONX 10456,100.0,False
1375,927,1100 TELLER AVENUE BRONX 10456,1100 TELLER AVENUE BRONX 10456,100.0,False
1376,927,1100 TELLER AVENUE BRONX 10456,1100 TELLER AVENUE BRONX 10456,100.0,False
1377,1038,219 EAST 97 STREET MANHATTAN 10029,219 EAST 97 STREET MANHATTAN 10029,100.0,False
1378,1038,219 EAST 97 STREET MANHATTAN 10029,219 EAST 97 STREET MANHATTAN 10029,100.0,False
1379,117,1248 WESTCHESTER AVENUE BRONX 10459,1248 WESTCHESTER AVENUE BRONX 10459,100.0,False
1380,117,1248 WESTCHESTER AVENUE BRONX 10459,1248 WESTCHESTER AVENUE BRONX 10459,100.0,False
1386,551,466 COLUMBIA STREET BROOKLYN 11231,466 COLUMBIA STREET BROOKLYN 11231,100.0,False
1394,551,466 COLUMBIA STREET BROOKLYN 11231,466 COLUMBIA STREET BROOKLYN 11231,100.0,False
1399,218,920 EAST 6 STREET MANHATTAN 10009,920 EAST 6 STREET MANHATTAN 10009,100.0,False
1400,218,920 EAST 6 STREET MANHATTAN 10009,920 EAST 6 STREET MANHATTAN 10009,100.0,False
1411,2704,123 LORRAINE STREET BROOKLYN 11231,123 LORRAINE STREET BROOKLYN 11231,100.0,False
1412,2704,123 LORRAINE STREET BROOKLYN 11231,123 LORRAINE STREET BROOKLYN 11231,100.0,False
1415,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
1416,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1417,1,2703 WEST 33 STREET BROOKLYN 11224,2703 WEST 33 STREET BROOKLYN 11224,100.0,False
1418,1,2703 WEST 33 STREET BROOKLYN 11224,2703 WEST 33 STREET BROOKLYN 11224,100.0,False
1419,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1420,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1427,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1428,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1429,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1430,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
